Year,Month,Day,Pothole_Count,강수량(mm),평균기온(℃),일교차,총교통량
2024,1,19,7,0.0,5.9,4.8,661800
2024,1,23,3,0.1,-9.2,6.3,661800
2024,2,13,3,0.0,8.4,16.2,659595
2024,2,14,8,0.0,13.2,10.0,659595
2024,2,19,10,16.6,9.8,8.4,659595
2024,2,22,2,3.7,2.1,2.5,659595
2024,2,23,5,0.0,3.0,6.1,659595
2024,2,26,7,0.0,3.7,11.4,659595
2024,2,27,2,0.0,5.3,9.2,659595
2024,2,28,64,0.0,6.3,9.4,659595
2024,2,29,37,0.2,5.1,4.6,659595
2024,3,1,5,0.0,-2.2,8.3,682478
2024,3,2,1,0.0,-0.9,12.2,682478
2024,3,4,8,0.0,6.7,13.4,682478
2024,3,5,8,2.5,5.9,3.5,682478
2024,3,6,18,0.0,7.0,10.2,682478
2024,3,7,18,0.0,4.6,8.0,682478
2024,3,8,12,0.0,2.9,9.4,682478
2024,3,15,24,0.0,9.5,17.8,682478
2024,3,16,20,0.0,11.4,19.6,682478
2024,3,17,8,0.0,9.7,10.3,682478
2024,3,18,4,0.0,7.9,15.5,682478
2024,3,19,42,0.0,7.2,8.2,682478
2024,3,20,30,0.0,4.6,8.5,682478
2024,3,21,9,0.0,5.2,13.3,682478
2024,3,22,23,4.1,10.1,15.9,682478
2024,3,23,22,0.3,14.9,11.2,682478
2024,3,24,6,0.0,14.1,8.7,682478
2024,3,25,43,6.8,9.4,6.8,682478
2024,3,26,41,19.5,6.7,8.4,682478
2024,3,27,26,0.0,10.2,15.5,682478
2024,3,28,5,21.3,9.0,2.0,682478
2024,3,29,4,0.2,9.3,8.0,682478
2024,4,1,2,0.0,13.1,18.4,696768
2024,4,3,1,16.0,13.2,2.1,696768
2024,4,4,19,0.0,13.4,5.4,696768
2024,4,5,19,0.0,13.3,9.3,696768
2024,4,6,3,0.0,13.2,12.5,696768
2024,4,9,2,0.0,15.3,12.2,696768
2024,4,19,3,0.0,18.2,17.4,696768
2024,4,22,5,0.0,17.4,8.8,696768
2024,4,23,2,0.0,16.4,12.4,696768
2024,4,24,1,4.3,13.8,6.9,696768
2024,4,30,2,0.0,16.6,7.5,696768
2024,5,3,2,0.0,18.4,18.7,692701
2024,5,7,5,14.1,12.9,5.6,692701
2024,5,8,2,1.8,14.4,10.4,692701
2024,5,9,5,0.0,15.6,14.7,692701
2024,5,13,2,0.0,17.6,16.3,692701
2024,5,27,2,0.0,18.5,9.5,692701
2024,5,28,1,0.0,18.8,13.1,692701
2024,5,29,3,0.0,20.9,15.7,692701
2024,5,30,1,0.0,21.1,9.5,692701
2024,6,17,3,0.0,23.4,11.7,689378
2024,6,19,4,0.0,27.5,17.4,689378
2024,6,20,12,0.0,25.7,12.5,689378
2024,6,21,2,0.0,26.4,14.5,689378
2024,6,24,2,0.0,25.3,9.7,689378
2024,6,26,1,0.0,24.3,12.8,689378
2024,6,27,3,0.0,23.7,9.2,689378
2024,7,1,6,0.0,26.2,10.4,687646
2024,7,3,1,31.9,25.7,6.8,687646
2024,7,4,8,0.0,28.1,8.9,687646
2024,7,5,12,3.9,25.8,6.0,687646
2024,7,22,15,0.0,28.9,5.7,687646
2024,7,23,36,3.9,27.2,2.4,687646
2024,7,25,1,0.1,28.1,10.0,687646
2024,7,26,2,1.3,28.4,8.9,687646
2024,7,29,2,0.0,28.6,5.8,687646
2024,7,30,1,0.0,28.7,6.5,687646
2024,7,31,2,0.0,29.5,8.2,687646
2024,8,1,8,0.0,30.0,7.3,685522
2024,8,5,8,34.3,27.4,10.3,685522
2024,8,6,1,0.0,28.6,10.5,685522
2024,9,6,1,0.5,25.6,5.5,683377
2024,9,8,5,0.0,27.6,11.5,683377
2024,9,10,1,0.0,29.5,11.2,683377
2024,9,20,2,45.6,25.5,3.4,683377
