Year,Month,Day,Pothole_Count,강수량(mm),평균기온(℃),최고기온(℃),최저기온(℃),일교차
2024,1,19,7.0,0.0,5.9,9.3,4.5,4.8
2024,1,23,3.0,0.1,-9.2,-6.0,-12.3,6.3
2024,2,13,3.0,0.0,8.4,16.3,0.1,16.2
2024,2,14,8.0,0.0,13.2,19.0,9.0,10.0
2024,2,19,10.0,16.6,9.8,13.5,5.1,8.4
2024,2,22,2.0,3.7,2.1,3.6,1.1,2.5
2024,2,23,5.0,0.0,3.0,6.8,0.7,6.1
2024,2,26,7.0,0.0,3.7,9.4,-2.0,11.4
2024,2,27,2.0,0.0,5.3,10.6,1.4,9.2
2024,2,28,64.0,0.0,6.3,11.8,2.4,9.4
2024,2,29,37.0,0.2,5.1,7.0,2.4,4.6
2024,3,1,5.0,0.0,-2.2,2.5,-5.8,8.3
2024,3,2,1.0,0.0,-0.9,4.3,-7.9,12.2
2024,3,4,8.0,0.0,6.7,13.1,-0.3,13.4
2024,3,5,8.0,2.5,5.9,8.1,4.6,3.5
2024,3,6,18.0,0.0,7.0,12.2,2.0,10.2
2024,3,7,18.0,0.0,4.6,8.6,0.6,8.0
2024,3,8,12.0,0.0,2.9,8.7,-0.7,9.4
2024,3,15,24.0,0.0,9.5,18.5,0.7,17.8
2024,3,16,20.0,0.0,11.4,21.4,1.8,19.6
2024,3,17,8.0,0.0,9.7,14.2,3.9,10.3
2024,3,18,4.0,0.0,7.9,15.6,0.1,15.5
2024,3,19,42.0,0.0,7.2,12.4,4.2,8.2
2024,3,20,30.0,0.0,4.6,9.6,1.1,8.5
2024,3,21,9.0,0.0,5.2,11.7,-1.6,13.3
2024,3,22,23.0,4.1,10.1,18.2,2.3,15.9
2024,3,23,22.0,0.3,14.9,21.3,10.1,11.2
2024,3,24,6.0,0.0,14.1,19.4,10.7,8.7
2024,3,25,43.0,6.8,9.4,13.4,6.6,6.8
2024,3,26,41.0,19.5,6.7,11.7,3.3,8.4
2024,3,27,26.0,0.0,10.2,17.7,2.2,15.5
2024,3,28,5.0,21.3,9.0,10.3,8.3,2.0
2024,3,29,4.0,0.2,9.3,13.8,5.8,8.0
2024,4,1,2.0,0.0,13.1,22.1,3.7,18.4
2024,4,3,1.0,16.0,13.2,14.2,12.1,2.1
2024,4,4,19.0,0.0,13.4,16.9,11.5,5.4
2024,4,5,19.0,0.0,13.3,19.2,9.9,9.3
2024,4,6,3.0,0.0,13.2,20.2,7.7,12.5
2024,4,9,2.0,0.0,15.3,21.4,9.2,12.2
2024,4,19,3.0,0.0,18.2,26.4,9.0,17.4
2024,4,22,5.0,0.0,17.4,23.0,14.2,8.8
2024,4,23,2.0,0.0,16.4,23.0,10.6,12.4
2024,4,24,1.0,4.3,13.8,17.8,10.9,6.9
2024,4,30,2.0,0.0,16.6,20.8,13.3,7.5
2024,5,3,2.0,0.0,18.4,27.5,8.8,18.7
2024,5,7,5.0,14.1,12.9,16.3,10.7,5.6
2024,5,8,2.0,1.8,14.4,20.1,9.7,10.4
2024,5,9,5.0,0.0,15.6,22.8,8.1,14.7
2024,5,13,2.0,0.0,17.6,25.6,9.3,16.3
2024,5,27,2.0,0.0,18.5,23.2,13.7,9.5
2024,5,28,1.0,0.0,18.8,25.2,12.1,13.1
2024,5,29,3.0,0.0,20.9,28.4,12.7,15.7
2024,5,30,1.0,0.0,21.1,25.6,16.1,9.5
2024,6,17,3.0,0.0,23.4,29.0,17.3,11.7
2024,6,19,4.0,0.0,27.5,36.6,19.2,17.4
2024,6,20,12.0,0.0,25.7,32.5,20.0,12.5
2024,6,21,2.0,0.0,26.4,33.2,18.7,14.5
2024,6,24,2.0,0.0,25.3,30.0,20.3,9.7
2024,6,26,1.0,0.0,24.3,30.6,17.8,12.8
2024,6,27,3.0,0.0,23.7,28.4,19.2,9.2
2024,7,1,6.0,0.0,26.2,31.9,21.5,10.4
2024,7,3,1.0,31.9,25.7,29.9,23.1,6.8
2024,7,4,8.0,0.0,28.1,32.2,23.3,8.9
2024,7,5,12.0,3.9,25.8,29.2,23.2,6.0
2024,7,22,15.0,0.0,28.9,31.7,26.0,5.7
2024,7,23,36.0,3.9,27.2,28.5,26.1,2.4
2024,7,25,1.0,0.1,28.1,34.7,24.7,10.0
2024,7,26,2.0,1.3,28.4,34.0,25.1,8.9
2024,7,29,2.0,0.0,28.6,32.2,26.4,5.8
2024,7,30,1.0,0.0,28.7,32.8,26.3,6.5
2024,7,31,2.0,0.0,29.5,34.3,26.1,8.2
2024,8,1,8.0,0.0,30.0,34.2,26.9,7.3
2024,8,5,8.0,34.3,27.4,34.3,24.0,10.3
2024,8,6,1.0,0.0,28.6,33.9,23.4,10.5
2024,9,6,1.0,0.5,25.6,29.1,23.6,5.5
2024,9,8,5.0,0.0,27.6,34.3,22.8,11.5
2024,9,10,1.0,0.0,29.5,36.0,24.8,11.2
2024,9,20,2.0,45.6,25.5,27.6,24.2,3.4
2024,1,1,0.0,0.0,3.8,9.0,-0.2,9.2
2024,1,2,0.0,0.0,4.0,6.4,1.5,4.9
2024,1,3,0.0,0.2,1.9,5.9,-1.2,7.1
2024,1,4,0.0,0.0,1.0,7.2,-3.7,10.9
2024,1,5,0.0,0.0,5.6,9.2,0.6,8.6
2024,1,6,0.0,0.3,1.4,6.8,-2.7,9.5
2024,1,7,0.0,0.0,-2.2,1.9,-6.0,7.9
2024,1,8,0.0,0.0,-3.8,2.5,-8.9,11.4
2024,1,9,0.0,2.8,0.8,6.9,-3.9,10.8
2024,1,10,0.0,0.6,-1.3,0.4,-4.2,4.6
2024,1,11,0.0,0.0,0.6,4.0,-4.7,8.7
2024,1,12,0.0,0.0,2.9,8.8,-1.5,10.3
2024,1,13,0.0,0.0,0.4,6.9,-4.5,11.4
2024,1,14,0.0,3.5,1.2,9.4,-4.6,14.0
2024,1,15,0.0,0.0,-2.1,3.7,-6.0,9.7
2024,1,16,0.0,0.0,-1.9,5.0,-7.2,12.2
2024,1,17,0.0,12.7,0.8,2.8,-2.9,5.7
2024,1,18,0.0,15.2,4.3,6.5,2.6,3.9
2024,1,20,0.0,12.2,4.4,6.0,2.1,3.9
2024,1,21,0.0,0.2,2.7,9.0,-0.2,9.2
2024,1,22,0.0,0.0,-5.4,-0.2,-8.8,8.6
2024,1,24,0.0,0.0,-6.9,-2.6,-11.6,9.0
2024,1,25,0.0,0.0,-4.3,2.4,-9.9,12.3
2024,1,26,0.0,0.0,-1.9,3.9,-7.1,11.0
2024,1,27,0.0,0.0,0.1,6.1,-4.4,10.5
2024,1,28,0.0,0.0,-0.3,4.5,-4.0,8.5
2024,1,29,0.0,0.0,-1.0,5.2,-5.8,11.0
2024,1,30,0.0,0.0,1.3,10.2,-5.4,15.6
2024,1,31,0.0,0.0,5.9,13.0,0.1,12.9
2024,2,1,0.0,0.0,4.0,6.2,2.4,3.8
2024,2,2,0.0,0.0,4.1,9.5,0.4,9.1
2024,2,3,0.0,0.4,4.6,9.6,-0.3,9.9
2024,2,4,0.0,1.3,6.2,10.3,3.5,6.8
2024,2,5,0.0,12.3,4.1,6.1,1.6,4.5
2024,2,6,0.0,1.1,1.7,4.2,-0.2,4.4
