Year,Month,Day,Pothole_Count
2024,1,19,7
2024,1,23,3
2024,2,13,3
2024,2,14,8
2024,2,19,10
2024,2,22,2
2024,2,23,5
2024,2,26,7
2024,2,27,2
2024,2,28,64
2024,2,29,37
2024,3,1,5
2024,3,2,1
2024,3,4,8
2024,3,5,8
2024,3,6,18
2024,3,7,18
2024,3,8,12
2024,3,15,24
2024,3,16,20
2024,3,17,8
2024,3,18,4
2024,3,19,42
2024,3,20,30
2024,3,21,9
2024,3,22,23
2024,3,23,22
2024,3,24,6
2024,3,25,43
2024,3,26,41
2024,3,27,26
2024,3,28,5
2024,3,29,4
2024,4,1,2
2024,4,3,1
2024,4,4,19
2024,4,5,19
2024,4,6,3
2024,4,9,2
2024,4,19,3
2024,4,22,5
2024,4,23,2
2024,4,24,1
2024,4,30,2
2024,5,3,2
2024,5,7,5
2024,5,8,2
2024,5,9,5
2024,5,13,2
2024,5,27,2
2024,5,28,1
2024,5,29,3
2024,5,30,1
2024,6,17,3
2024,6,19,4
2024,6,20,12
2024,6,21,2
2024,6,24,2
2024,6,26,1
2024,6,27,3
2024,7,1,6
2024,7,3,1
2024,7,4,8
2024,7,5,12
2024,7,22,15
2024,7,23,36
2024,7,25,1
2024,7,26,2
2024,7,29,2
2024,7,30,1
2024,7,31,2
2024,8,1,8
2024,8,5,8
2024,8,6,1
2024,9,6,1
2024,9,8,5
2024,9,10,1
2024,9,20,2
