Year,Month,Day,PLC_LTTD,PLC_LGTD
2024,4,5,36.3549639,127.3449165
2024,4,5,36.3572883,127.3407322
2024,4,5,36.3561963,127.3328358
2024,4,5,36.3558867,127.3403145
2024,4,5,36.3545695,127.3502054
2024,4,5,36.3543671,127.3499997
2024,4,5,36.3549855,127.3450262
2024,4,5,36.3437096,127.3222882
2024,4,5,36.3449841,127.2959546
2024,4,4,36.3814433,127.3244746
2024,4,4,36.3815636,127.3249248
2024,4,4,36.3432979,127.2990918
2024,4,4,36.3431311,127.2993334
2024,4,4,36.309786,127.3080341
2024,4,4,36.3505537,127.3371626
2024,4,4,36.3523244,127.3382727
2024,4,4,36.3292556,127.312099
2024,4,4,36.2999016,127.3199788
2024,4,4,36.3002815,127.3201086
2024,4,4,36.2998383,127.3201286
2024,4,3,36.3578388,127.3398481
2024,3,23,36.3560259,127.3424678
2024,3,23,36.3523203,127.3337203
2024,3,23,36.3414286,127.3054769
2024,3,23,36.350817,127.3350351
2024,3,22,36.3814009,127.3243568
2024,3,22,36.3815173,127.3247269
2024,3,22,36.3554654,127.3417732
2024,3,22,36.355049,127.3450638
2024,3,22,36.3507567,127.335642
2024,3,22,36.3486765,127.3455379
2024,3,21,36.3520733,127.3301716
2024,3,21,36.3226052,127.3187533
2024,3,20,36.3418338,127.3046393
2024,3,19,36.3569953,127.3533698
2024,3,19,36.3554982,127.3411926
2024,3,19,36.3552217,127.3431073
2024,3,19,36.3418344,127.3026135
2024,3,18,36.3814008,127.3244028
2024,3,18,36.3549347,127.3449815
2024,3,17,36.3560019,127.3327262
2024,3,17,36.3443497,127.3229261
2024,3,17,36.3597735,127.3048581
2024,3,17,36.3152067,127.3163994
2024,3,17,36.3119104,127.319966
2024,3,17,36.311828,127.3199157
2024,3,17,36.3118023,127.3198672
2024,3,17,36.3117916,127.3198028
2024,3,16,36.354661,127.3467751
2024,3,16,36.3548934,127.3450196
2024,3,16,36.3548995,127.3449595
2024,3,16,36.3545529,127.3348949
2024,3,16,36.3542035,127.3362397
2024,3,16,36.3544591,127.3388065
2024,3,15,36.3441886,127.3075019
2024,3,8,36.2669382,127.284043
2024,3,8,36.3136688,127.3304695
2024,3,8,36.3137196,127.3305908
2024,3,8,36.3440671,127.2982349
2024,3,8,36.3012434,127.3202818
2024,3,7,36.3559006,127.3404032
2024,3,7,36.3558762,127.3406803
2024,3,7,36.3553716,127.341559
2024,3,7,36.3542852,127.3416156
2024,3,7,36.3554147,127.3414465
2024,3,7,36.3559003,127.3402426
2024,3,7,36.3551934,127.3451278
2024,3,7,36.3552479,127.3451532
