Year,Month,가정로,계룡로,계백로,구즉세종로,노은길,노은로,대학로(1),도안대로,도안동로,도안중로,동서대로2,문지로,배울1로,북유성대로,엑스포로,월드컵대로,유성대로,자양로,한밭대로,현충원로,총교통량
2024,1,25399,52420,51305,39810,14631,26371,19240,28994,35928,17783,39612,9882,12648,66662,30292,25360,33386,22570,72661,36846,661800
2024,2,24446,52955,51753,40068,14758,25919,19200,27960,36014,17751,38772,9564,12401,67612,29993,23323,32818,22515,73572,38201,659595
2024,3,25517,54980,52724,40356,15199,27525,20303,28761,37498,18033,39123,9902,12790,69313,30857,24139,34236,23765,76357,41100,682478
2024,4,27109,56591,53013,41021,15510,28548,21344,28304,36528,18119,39145,10295,13078,70352,31165,25876,34533,24232,77281,44724,696768
2024,5,26058,56097,52838,40712,15426,28025,20481,28157,35458,18267,39787,10230,13594,72287,31107,25714,33905,24565,76738,43255,692701
2024,6,25220,55991,52330,40354,15683,27899,20003,26672,35177,18465,39394,9805,13769,74610,31077,25207,33451,23683,75771,44817,689378
2024,7,26770,57175,50020,40724,15728,28211,20477,28643,34631,18781,40040,10368,13950,71754,31294,25534,32994,23212,74197,43143,687646
2024,8,25746,55392,50020,40811,15729,27452,19900,29304,34402,17356,39969,9791,13855,72878,31278,24708,32332,23599,76720,44280,685522
2024,9,24674,56240,50269,41317,15576,27138,19019,34443,34391,17205,40514,9533,13832,68377,30004,24303,32402,23832,76439,43869,683377
2024,10,24766,57028,50208,41816,15353,27078,19063,35136,34334,16887,40637,9707,13826,68560,30646,23700,33399,23723,76653,44364,686884
