월,도로,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,총교통량
2024년 01월,가장로,448,335,261,216,293,554,"1,075","1,519","1,961","1,887","1,912","1,848","1,721","1,886","1,917","2,022","2,102","2,199","2,041","1,642","1,377","1,181",929,640,31966
2024년 01월,가정로,210,165,114,102,123,249,559,"1,372","2,407","2,017","1,277","1,548","1,526","1,436","1,297","1,403","1,738","2,371","2,120","1,219",836,632,427,251,25399
2024년 01월,계룡로,834,615,462,367,417,741,"1,449","2,378","3,079","2,984","3,053","3,100","2,965","3,146","3,292","3,301","3,357","3,573","3,429","2,708","2,332","2,085","1,638","1,115",52420
2024년 01월,계백로,820,591,395,323,372,755,"1,501","2,281","2,907","2,922","3,000","3,166","2,952","3,190","3,151","3,256","3,325","3,498","3,389","2,686","2,205","1,963","1,537","1,120",51305
2024년 01월,계족로,450,295,224,242,360,653,"1,182","1,723","2,011","1,798","1,845","1,835","1,885","1,918","1,985","1,997","2,069","2,110","1,978","1,479","1,252","1,106",934,604,31935
2024년 01월,구봉로,121,108,94,93,100,135,210,384,618,504,519,529,532,540,558,586,639,683,740,453,332,274,203,145,9100
2024년 01월,노은길,178,137,109,98,101,131,233,611,924,825,759,817,866,899,906,941,"1,019","1,210","1,259",826,604,522,406,250,14631
2024년 01월,노은로,188,141,103,96,135,315,683,"1,690","2,188","1,794","1,356","1,329","1,378","1,502","1,487","1,591","1,915","2,299","2,318","1,372",979,747,496,269,26371
2024년 01월,대전로,435,258,214,218,262,531,943,"1,348","1,534","1,545","1,619","1,609","1,559","1,682","1,728","1,730","1,760","1,723","1,622","1,295","1,161","1,057",863,652,27348
2024년 01월,대종로,360,259,203,194,214,452,707,"1,027","1,441","1,356","1,412","1,447","1,430","1,543","1,645","1,604","1,653","1,754","1,701","1,124",956,823,653,479,24437
2024년 01월,대청길,76,62,54,53,62,88,189,392,466,440,502,583,653,712,740,724,712,678,581,368,295,236,169,108,8943
