일시,평균기온(℃),최고기온(℃),최저기온(℃),일교차
2024-01-01,3.8,9,-0.2,9.2
2024-01-02,4,6.4,1.5,4.9
2024-01-03,1.9,5.9,-1.2,7.1
2024-01-04,1,7.2,-3.7,10.9
2024-01-05,5.6,9.2,0.6,8.6
2024-01-06,1.4,6.8,-2.7,9.5
2024-01-07,-2.2,1.9,-6,7.9
2024-01-08,-3.8,2.5,-8.9,11.4
2024-01-09,0.8,6.9,-3.9,10.8
2024-01-10,-1.3,0.4,-4.2,4.6
2024-01-11,0.6,4,-4.7,8.7
2024-01-12,2.9,8.8,-1.5,10.3
2024-01-13,0.4,6.9,-4.5,11.4
2024-01-14,1.2,9.4,-4.6,14
2024-01-15,-2.1,3.7,-6,9.7
2024-01-16,-1.9,5,-7.2,12.2
2024-01-17,0.8,2.8,-2.9,5.7
2024-01-18,4.3,6.5,2.6,3.9
2024-01-19,5.9,9.3,4.5,4.8
2024-01-20,4.4,6,2.1,3.9
2024-01-21,2.7,9,-0.2,9.2
2024-01-22,-5.4,-0.2,-8.8,8.6
2024-01-23,-9.2,-6,-12.3,6.3
2024-01-24,-6.9,-2.6,-11.6,9
2024-01-25,-4.3,2.4,-9.9,12.3
2024-01-26,-1.9,3.9,-7.1,11
2024-01-27,0.1,6.1,-4.4,10.5
2024-01-28,-0.3,4.5,-4,8.5
2024-01-29,-1,5.2,-5.8,11
2024-01-30,1.3,10.2,-5.4,15.6
2024-01-31,5.9,13,0.1,12.9
2024-02-01,4,6.2,2.4,3.8
2024-02-02,4.1,9.5,0.4,9.1
2024-02-03,4.6,9.6,-0.3,9.9
2024-02-04,6.2,10.3,3.5,6.8
2024-02-05,4.1,6.1,1.6,4.5
2024-02-06,1.7,4.2,-0.2,4.4
2024-02-07,0.3,5.2,-2,7.2
2024-02-08,0.6,6.8,-4.1,10.9
2024-02-09,1.2,7.4,-4,11.4
2024-02-10,1.3,7.7,-3.7,11.4
2024-02-11,0.8,7.3,-4.1,11.4
2024-02-12,3.6,12.2,-3.7,15.9
2024-02-13,8.4,16.3,0.1,16.2
2024-02-14,13.2,19,9,10
2024-02-15,5.9,13.3,-0.3,13.6
2024-02-16,3.1,10.1,-2,12.1
