MTDT_INDEX,DTCT_UID,ROAD_POTHOLE,ROAD_CRACK,PLC_LTTD,PLC_LGTD,ROAD_INFO,DSTA_LGLD_INFO,DSTA_ADSTRD_INFO,IMG_CONF
13839,RAD05_240405095632_14632,1,0,36.3549639,127.3449165,대전광역시 유성구 봉명동 574,봉명동,온천1동,₩0
13822,RAD05_240405094235_13905,1,0,36.3572883,127.3407322,대전광역시 유성구 봉명동 531,봉명동,온천1동,₩0
13793,RAD05_240405093040_13477,1,0,36.3561963,127.3328358,대전광역시 유성구 구암동 631,구암동,온천1동,₩0
13735,RAD05_240405083601_12768,1,0,36.3558867,127.3403145,대전광역시 유성구 봉명동 442-10,봉명동,온천1동,₩0
13724,RAD05_240405082713_12088,1,0,36.3545695,127.3502054,대전광역시 유성구 봉명동 700,봉명동,온천1동,₩0
13722,RAD05_240405082710_12059,1,0,36.3543671,127.3499997,대전광역시 유성구 봉명동 700,봉명동,온천1동,₩0
13663,RAD05_240405075329_11428,1,0,36.3549855,127.3450262,대전광역시 유성구 봉명동 574,봉명동,온천1동,₩0
13613,RAD05_240405074120_10100,1,0,36.3437096,127.3222882,대전광역시 유성구 복용동 산 14-18,복용동,상대동,₩0
13606,RAD05_240405073049_9638,1,0,36.3449841,127.2959546,대전광역시 유성구 계산동 242,계산동,학하동,₩0
13503,RAD05_240404151934_8498,1,0,36.3814433,127.3244746,대전광역시 유성구 죽동 648,죽동,노은2동,₩0
13502,RAD05_240404151929_8459,1,0,36.3815636,127.3249248,대전광역시 유성구 죽동 648,죽동,노은2동,₩0
13450,RAD05_240404135731_6421,1,0,36.3432979,127.2990918,대전광역시 유성구 계산동 719,계산동,학하동,₩0
13449,RAD05_240404135726_6409,1,0,36.3431311,127.2993334,대전광역시 유성구 계산동 781,계산동,학하동,₩0
13398,RAD05_240404101331_5544,1,0,36.309786,127.3080341,대전광역시 유성구 교촌동 422-1,교촌동,진잠동,₩0
13393,RAD05_240404100340_4912,1,0,36.3505537,127.3371626,대전광역시 유성구 구암동 641,구암동,온천1동,₩0
13368,RAD05_240404094447_3940,1,0,36.3523244,127.3382727,대전광역시 유성구 봉명동 528,봉명동,온천1동,₩0
13348,RAD05_240404070707_3244,1,0,36.3292556,127.312099,대전광역시 유성구 용계동 412-6,용계동,진잠동,₩0
13331,RAD05_240404065304_2542,1,0,36.2999016,127.3199788,대전광역시 유성구 원내동 735,원내동,진잠동,₩0
13304,RAD05_240404061634_2393,1,0,36.3002815,127.3201086,대전광역시 유성구 원내동 738,원내동,진잠동,₩0
13303,RAD05_240404061624_2382,1,0,36.2998383,127.3201286,대전광역시 유성구 원내동 735,원내동,진잠동,₩0
13130,RAD05_240403162432_218,1,0,36.3578388,127.3398481,대전광역시 유성구 장대동 373,장대동,온천2동,₩0
11609,RAD05_240323081316_7232,1,0,36.3560259,127.3424678,대전광역시 유성구 봉명동 574,봉명동,온천1동,₩0
